t,theta,omega,x,y
0.0000000000,0.2000000000,0.0000000000,0.1986693308,-0.9800665778
0.0010000000,0.1999990255,-0.0019489430,0.1986683757,-0.9800667714
0.0060000000,0.1999649200,-0.0116930023,0.1986349499,-0.9800735466
0.0310000000,0.1990642522,-0.0603243294,0.1977521489,-0.9802520531
0.0310000000,0.1990642522,-0.0603243294,0.1977521489,-0.9802520531
0.1102218973,0.1882761205,-0.2106557519,0.1871657583,-0.9823283458
0.1973275966,0.1632266920,-0.3609792847,0.1625028501,-0.9867080742
0.2838933859,0.1264183289,-0.4842755561,0.1260818702,-0.9920198395
0.3742215211,0.0782396342,-0.5753892456,0.0781598355,-0.9969408408
0.4702028003,0.0203343075,-0.6221231676,0.0203329062,-0.9997932651
0.5782049983,-0.0467341886,-0.6080058740,-0.0467171786,-0.9989081566
0.6847023802,-0.1077182016,-0.5266643821,-0.1075100096,-0.9942040021
0.6847023802,-0.1077182016,-0.5266643821,-0.1075100096,-0.9942040021
0.7778472906,-0.1515431176,-0.4077178058,-0.1509637440,-0.9885393002
0.8747430459,-0.1835534909,-0.2479963193,-0.1825245153,-0.9832013025
0.9630131852,-0.1982390240,-0.0826624850,-0.1969431500,-0.9804149100
1.0492547839,-0.1981412361,0.0849163510,-0.1968472763,-0.9804341639
1.1344529038,-0.1840226515,0.2445807298,-0.1829857745,-0.9831155610
1.2201338668,-0.1567632531,0.3879531915,-0.1561219728,-0.9877377838
1.3076381948,-0.1174072555,0.5059861330,-0.1171377087,-0.9931156817
1.3987576628,-0.0671837988,0.5889226038,-0.0671332693,-0.9977440173
1.4965074300,-0.0073889880,0.6249451887,-0.0073889208,-0.9999727016
1.6070027923,0.0607321060,0.5957514599,0.0606947789,-0.9981563724
1.7128690583,0.1193494516,0.5015185090,0.1190663119,-0.9928863043
1.7128690583,0.1193494516,0.5015185090,0.1190663119,-0.9928863043
1.8040305892,0.1596341886,0.3763414614,0.1589570569,-0.9872854977
1.8990949192,0.1878967604,0.2139279440,0.1867930886,-0.9823992783
1.9866736656,0.1994181716,0.0475622534,0.1980990666,-0.9801820034
2.0725980756,0.1963252129,-0.1191281390,0.1950664614,-0.9807900263
2.1577827128,0.1793925098,-0.2761062659,0.1784318650,-0.9839522700
2.2437248481,0.1495187610,-0.4149558422,0.1489622800,-0.9888428789
2.3318125529,0.1077898763,-0.5265190244,0.1075812686,-0.9941962938
2.4239950832,0.0554695460,-0.6007616434,0.0554411049,-0.9984619592
2.5237920992,-0.0062000891,-0.6250709219,-0.0062000494,-0.9999807795
2.6331993769,-0.0728963443,-0.5822236786,-0.0728318011,-0.9973442378
2.7394357667,-0.1296237016,-0.4759099436,-0.1292610103,-0.9916106046
2.7394357667,-0.1296237016,-0.4759099436,-0.1292610103,-0.9916106046
2.8298002246,-0.1669194541,-0.3440885314,-0.1661454120,-0.9861012636
2.9231875730,-0.1915459742,-0.1796152359,-0.1903768219,-0.9817110907
3.0102059894,-0.1999585444,-0.0125618688,-0.1986287014,-0.9800748130
3.0958746037,-0.1939137596,0.1528508646,-0.1927007673,-0.9812575678
3.1811042973,-0.1742117466,0.3067755008,-0.1733318695,-0.9848634743
3.2673671811,-0.1417761982,0.4407199087,-0.1413017135,-0.9899665781
3.3561181060,-0.0977350398,0.5453969189,-0.0975795176,-0.9952277316
3.4495026910,-0.0433796920,0.6104359691,-0.0433660880,-0.9990592487
3.5517102473,0.0201545745,0.6221773699,0.0201532100,-0.9997969034
3.6600755543,0.0851407407,0.5657030470,0.0850379146,-0.9963777161
3.7668218663,0.1397048986,0.4471396093,0.1392508945,-0.9902571325
3.8655984972,0.1765665144,0.2933402876,0.1756505117,-0.9844525879
3.9551956862,0.1956391400,0.1296541779,0.1943935222,-0.9809236252
4.0419319155,0.1996195040,-0.0384267343,0.1982964050,-0.9801420998
4.1272506314,0.1893402084,-0.2011274502,0.1882109358,-0.9821286289
4.2126705389,0.1656641880,-0.3499598797,0.1649074619,-0.9863090434
4.2995091648,0.1295803744,-0.4760234727,0.1292180465,-0.9916162042
4.3893913509,0.0822665215,-0.5698542393,0.0821737592,-0.9966180177
4.4848346375,0.0250380721,-0.6204342196,0.0250354561,-0.9996865638
4.5914794810,-0.0412879028,-0.6118556646,-0.0412761733,-0.9991477756
4.6983569546,-0.1031774872,-0.5354876911,-0.1029945203,-0.9946819234
4.6983569546,-0.1031774872,-0.5354876911,-0.1029945203,-0.9946819234
4.7925345942,-0.1484363944,-0.4187324896,-0.1478919024,-0.9890035314
4.8901502811,-0.1818257963,-0.2601064136,-0.1808255722,-0.9835151816
4.9787002323,-0.1976581379,-0.0952326770,-0.1963736073,-0.9805291461
5.0650719119,-0.1986427708,0.0725688102,-0.1973389732,-0.9803353149
5.1502892580,-0.1855420626,0.2331037820,-0.1844793195,-0.9828363957
5.2358910945,-0.1592308062,0.3780015306,-0.1585587905,-0.9873495379
5.3232050306,-0.1207386267,0.4982493614,-0.1204454896,-0.9927199424
5.4139744316,-0.0712811597,0.5841776558,-0.0712208117,-0.9974605736
5.5110642475,-0.0121646378,0.6242077427,-0.0121643378,-0.9999260117
5.6216227268,0.0561975537,0.6000943279,0.0561679781,-0.9984213330
5.7274684967,0.1155020751,0.5102541247,0.1152454327,-0.9933370477
5.7274684967,0.1155020751,0.5102541247,0.1152454327,-0.9933370477
5.8189346576,0.1568450532,0.3876222272,0.1562027693,-0.9877250097
5.9146722954,0.1864380548,0.2260210233,0.1853598591,-0.9826707092
6.0024718975,0.1990724099,0.0599979642,0.1977601454,-0.9802504399
6.0885035301,0.1970361141,-0.1070548988,0.1957636569,-0.9806511055
6.1736858431,0.1810958463,-0.2650253472,0.1801076072,-0.9836469132
6.2595289307,0.1521428433,-0.4055208756,0.1515565693,-0.9884485856
6.3474011577,0.1112482953,-0.5194234021,0.1110189658,-0.9938182878
6.4391921910,0.0596641968,-0.5968034352,0.0596288042,-0.9982206198
6.5382268982,-0.0013432112,-0.6253542512,-0.0013432108,-0.9999990979
6.6480137455,-0.0685750851,-0.5873427212,-0.0685213515,-0.9976496501
6.7541041396,-0.1260015308,-0.4853284343,-0.1256683872,-0.9920723040
6.7541041396,-0.1260015308,-0.4853284343,-0.1256683872,-0.9920723040
6.8447491940,-0.1643797647,-0.3558204516,-0.1636404879,-0.9865200407
6.9387082223,-0.1903029063,-0.1920539370,-0.1891563415,-0.9819469835
7.0259192665,-0.1998346852,-0.0252033554,-0.1985073086,-0.9800994074
7.1116727668,-0.1948525886,0.1407133742,-0.1936219153,-0.9810762223
7.1968798077,-0.1761470535,0.2957843049,-0.1752375568,-0.9845261798
7.2830197415,-0.1446321040,0.4315462479,-0.1441283847,-0.9895589971
7.3715212911,-0.1014204175,0.5387618999,-0.1012466368,-0.9948613564
7.4644538624,-0.0477944197,0.6071900033,-0.0477762256,-0.9988580641
7.5657415215,0.0150643572,0.6235848986,0.0150637875,-0.9998865347
7.6744797220,0.0807036241,0.5720362138,0.0806160478,-0.9967452297
7.7810242751,0.1360834144,0.4579252625,0.1356637886,-0.9907549326
7.7810242751,0.1360834144,0.4579252625,0.1356637886,-0.9907549326
7.8708940923,0.1713619829,0.3220527471,0.1705245413,-0.9853534294
7.9633088178,0.1936224548,0.1563893386,0.1924149140,-0.9813136608
8.0499981657,0.1999669025,-0.0108993633,0.1986368929,-0.9800731528
8.1355317022,0.1919591903,-0.1752426589,0.1907824645,-0.9816323402
8.2208233676,0.1704187132,-0.3269020999,0.1695950116,-0.9855138416
8.3073372047,0.1362888586,-0.4573268799,0.1358673305,-0.9907270404
8.3965832111,0.0907258873,-0.5571271876,0.0906014749,-0.9958872289
8.4908669400,0.0350340056,-0.6156653242,0.0350268394,-0.9993863720
8.5949581843,-0.0297670958,-0.6183778506,-0.0297627000,-0.9995569927
8.7026376867,-0.0934228161,-0.5527431654,-0.0932869791,-0.9956392617
8.8098181882,-0.1463581275,-0.4258170854,-0.1458361712,-0.9893087542
8.9063723220,-0.1802373448,-0.2706683079,-0.1792630786,-0.9838011733
8.9954805809,-0.1971121436,-0.1056638812,-0.1958382148,-0.9806362188
9.0818998569,-0.1990035134,0.0621537380,-0.1976926092,-0.9802640625
9.1671556578,-0.1867589224,0.2234133370,-0.1856751567,-0.9826111826
9.2526926545,-0.1612486082,0.3695447528,-0.1605507421,-0.9870275879
9.3398552914,-0.1234859746,0.4916110112,-0.1231723786,-0.9923852907
9.4303423014,-0.0746771783,0.5800000738,-0.0746077892,-0.9972129551
9.5269049176,-0.0161330929,0.6233205680,-0.0161323931,-0.9998698645
9.6361681636,0.0515864383,0.6041368288,0.0515635614,-0.9986697147
9.7423346721,0.1117277595,0.5184105028,0.1114954532,-0.9937649440
9.7423346721,0.1117277595,0.5184105028,0.1114954532,-0.9937649440
9.8346015204,0.1542780489,0.3975538603,0.1536667631,-0.9881227282
9.9308892073,0.1850514199,0.2368642340,0.1839970758,-0.9829267908
